,Condition,Best_Epoch
477,HomoTrainOrthoVal,75
478,HomoTrainOrthoVal,67
479,HomoTrainOrthoVal,63
480,HomoTrainOrthoVal,71
481,HomoTrainOrthoVal,71
482,HomoTrainOrthoVal,65
483,HomoTrainOrthoVal,59
484,HomoTrainOrthoVal,63
485,HomoTrainOrthoVal,71
486,HomoTrainOrthoVal,74
487,HomoTrainOrthoVal,66
488,HomoTrainOrthoVal,74
489,HomoTrainOrthoVal,53
490,HomoTrainOrthoVal,65
491,HomoTrainOrthoVal,64
492,HomoTrainOrthoVal,63
493,HomoTrainOrthoVal,65
494,HomoTrainOrthoVal,69
495,HomoTrainOrthoVal,63
496,HomoTrainOrthoVal,57
497,HomoTrainOrthoVal,64
498,HomoTrainOrthoVal,64
499,HomoTrainOrthoVal,63
500,HomoTrainOrthoVal,56
501,HomoTrainOrthoVal,69
502,HomoTrainOrthoVal,72
503,HomoTrainOrthoVal,71
504,HomoTrainOrthoVal,62
505,HomoTrainOrthoVal,58
506,HomoTrainOrthoVal,72
507,HomoTrainOrthoVal,71
508,HomoTrainOrthoVal,78
509,HomoTrainOrthoVal,72
510,HomoTrainOrthoVal,66
511,HomoTrainOrthoVal,72
512,HomoTrainOrthoVal,65
513,HomoTrainOrthoVal,66
514,HomoTrainOrthoVal,61
515,HomoTrainOrthoVal,61
516,HomoTrainOrthoVal,51
517,HomoTrainOrthoVal,62
518,HomoTrainOrthoVal,64
519,HomoTrainOrthoVal,66
520,HomoTrainOrthoVal,67
521,HomoTrainOrthoVal,63
522,HomoTrainOrthoVal,66
523,HomoTrainOrthoVal,74
524,HomoTrainOrthoVal,57
525,HomoTrainOrthoVal,57
526,HomoTrainOrthoVal,62
527,HomoTrainOrthoVal,73
528,HomoTrainOrthoVal,60
529,HomoTrainOrthoVal,60
530,HomoTrainOrthoVal,59
531,HomoTrainOrthoVal,69
532,HomoTrainOrthoVal,67
533,HomoTrainOrthoVal,63
534,HomoTrainOrthoVal,64
535,HomoTrainOrthoVal,63
536,HomoTrainOrthoVal,64
537,HomoTrainOrthoVal,63
538,HomoTrainOrthoVal,69
539,HomoTrainOrthoVal,64
540,HomoTrainOrthoVal,63
541,HomoTrainOrthoVal,67
542,HomoTrainOrthoVal,61
543,HomoTrainOrthoVal,64
544,HomoTrainOrthoVal,76
545,HomoTrainOrthoVal,73
546,HomoTrainOrthoVal,60
547,HomoTrainOrthoVal,64
548,HomoTrainOrthoVal,59
549,HomoTrainOrthoVal,59
550,HomoTrainOrthoVal,71
551,HomoTrainOrthoVal,73
552,HomoTrainOrthoVal,62
553,HomoTrainOrthoVal,68
554,HomoTrainOrthoVal,67
555,HomoTrainOrthoVal,60
556,HomoTrainOrthoVal,63
557,HomoTrainOrthoVal,63
558,HomoTrainOrthoVal,60
559,HomoTrainOrthoVal,63
560,HomoTrainOrthoVal,61
561,HomoTrainOrthoVal,63
562,HomoTrainOrthoVal,68
563,HomoTrainOrthoVal,61
564,HomoTrainOrthoVal,64
565,HomoTrainOrthoVal,57
566,HomoTrainOrthoVal,68
567,HomoTrainOrthoVal,59
568,HomoTrainOrthoVal,60
569,HomoTrainOrthoVal,73
570,HomoTrainOrthoVal,65
571,HomoTrainOrthoVal,63
572,HomoTrainOrthoVal,61
573,HomoTrainOrthoVal,61
574,HomoTrainOrthoVal,64
575,HomoTrainOrthoVal,65
576,HomoTrainOrthoVal,70
577,HomoTrainOrthoVal,65
578,HomoTrainOrthoVal,74
579,HomoTrainOrthoVal,67
580,HomoTrainOrthoVal,58
581,HomoTrainOrthoVal,57
582,HomoTrainOrthoVal,59
583,HomoTrainOrthoVal,57
584,HomoTrainOrthoVal,63
585,HomoTrainOrthoVal,68
586,HomoTrainOrthoVal,69
587,HomoTrainOrthoVal,60
588,HomoTrainOrthoVal,67
589,HomoTrainOrthoVal,78
590,HomoTrainOrthoVal,71
591,HomoTrainOrthoVal,59
592,HomoTrainOrthoVal,69
593,HomoTrainOrthoVal,71
594,HomoTrainOrthoVal,56
595,HomoTrainOrthoVal,63
596,HomoTrainOrthoVal,69
597,HomoTrainOrthoVal,56
598,HomoTrainOrthoVal,61
599,HomoTrainOrthoVal,64
